prefix,eia_code,metric_code,body_length,body_width,body_height,L_min,L_max,T_min,T_max,W_min,W_max,polarized
RESC,01005,0402,0.40,0.20,0.13,0.36,0.44,0.05,0.13,0.16,0.24,false
RESC,0201,0603,0.60,0.30,0.23,0.50,0.70,0.08,0.18,0.22,0.38,false
RESC,0402,1005,1.00,0.50,0.35,0.90,1.10,0.15,0.35,0.40,0.60,false
RESC,0603,1608,1.60,0.80,0.55,1.50,1.70,0.20,0.40,0.70,0.90,false
RESC,0805,2012,2.00,1.25,0.65,1.80,2.20,0.25,0.55,1.05,1.45,false
RESC,1206,3216,3.20,1.60,0.65,3.00,3.40,0.30,0.60,1.40,1.80,false
RESC,1210,3225,3.20,2.50,0.65,3.00,3.40,0.30,0.60,2.30,2.70,false
RESC,1218,3246,3.20,4.60,0.65,3.00,3.40,0.30,0.60,4.40,4.80,false
RESC,1812,4532,4.50,3.20,0.65,4.30,4.70,0.30,0.60,3.00,3.40,false
RESC,2010,5025,5.00,2.50,0.65,4.80,5.20,0.30,0.60,2.30,2.70,false
RESC,2512,6332,6.30,3.20,0.65,6.10,6.50,0.30,0.60,3.00,3.40,false
RESC,0508,1220,1.20,2.00,0.55,1.00,1.40,0.15,0.35,1.80,2.20,false
RESC,0612,1632,1.60,3.20,0.55,1.40,1.80,0.20,0.40,3.00,3.40,false
RESC,0815,2038,2.00,3.80,0.65,1.80,2.20,0.25,0.55,3.60,4.00,false
RESC,1020,2550,2.50,5.00,0.65,2.30,2.70,0.25,0.55,4.80,5.20,false
RESC,1225,3264,3.20,6.40,0.65,3.00,3.40,0.30,0.60,6.20,6.60,false
CAPC,01005,0402,0.40,0.20,0.13,0.36,0.44,0.05,0.13,0.16,0.24,false
CAPC,0201,0603,0.60,0.30,0.23,0.50,0.70,0.08,0.18,0.22,0.38,false
CAPC,0402,1005,1.00,0.50,0.50,0.90,1.10,0.15,0.35,0.40,0.60,false
CAPC,0603,1608,1.60,0.80,0.80,1.50,1.70,0.20,0.40,0.70,0.90,false
CAPC,0805,2012,2.00,1.25,1.25,1.80,2.20,0.25,0.55,1.05,1.45,false
CAPC,1206,3216,3.20,1.60,1.60,3.00,3.40,0.30,0.60,1.40,1.80,false
CAPC,1210,3225,3.20,2.50,2.50,3.00,3.40,0.30,0.60,2.30,2.70,false
CAPC,1808,4520,4.50,2.00,2.00,4.30,4.70,0.30,0.60,1.80,2.20,false
CAPC,1812,4532,4.50,3.20,2.50,4.30,4.70,0.30,0.60,3.00,3.40,false
CAPC,1825,4564,4.50,6.40,2.50,4.30,4.70,0.30,0.60,6.20,6.60,false
CAPC,2220,5750,5.70,5.00,2.50,5.50,5.90,0.30,0.60,4.80,5.20,false
CAPC,2225,5664,5.60,6.40,2.50,5.40,5.80,0.30,0.60,6.20,6.60,false
INDC,01005,0402,0.40,0.20,0.13,0.36,0.44,0.05,0.13,0.16,0.24,false
INDC,0201,0603,0.60,0.30,0.23,0.50,0.70,0.08,0.18,0.22,0.38,false
INDC,0402,1005,1.00,0.50,0.50,0.90,1.10,0.15,0.35,0.40,0.60,false
INDC,0603,1608,1.60,0.80,0.80,1.50,1.70,0.20,0.40,0.70,0.90,false
INDC,0805,2012,2.00,1.25,1.25,1.80,2.20,0.25,0.55,1.05,1.45,false
INDC,1206,3216,3.20,1.60,1.60,3.00,3.40,0.30,0.60,1.40,1.80,false
INDC,1210,3225,3.20,2.50,2.50,3.00,3.40,0.30,0.60,2.30,2.70,false
INDC,1812,4532,4.50,3.20,2.50,4.30,4.70,0.30,0.60,3.00,3.40,false
DIOC,0402,1005,1.00,0.50,0.35,0.90,1.10,0.15,0.35,0.40,0.60,true
DIOC,0603,1608,1.60,0.80,0.55,1.50,1.70,0.20,0.40,0.70,0.90,true
DIOC,0805,2012,2.00,1.25,0.65,1.80,2.20,0.25,0.55,1.05,1.45,true
DIOC,1206,3216,3.20,1.60,0.65,3.00,3.40,0.30,0.60,1.40,1.80,true
CAPCP,0402,1005,1.00,0.50,0.50,0.90,1.10,0.15,0.35,0.40,0.60,true
CAPCP,0603,1608,1.60,0.80,0.80,1.50,1.70,0.20,0.40,0.70,0.90,true
CAPCP,0805,2012,2.00,1.25,1.25,1.80,2.20,0.25,0.55,1.05,1.45,true
CAPCP,1206,3216,3.20,1.60,1.60,3.00,3.40,0.30,0.60,1.40,1.80,true
CAPCP,1210,3225,3.20,2.50,2.50,3.00,3.40,0.30,0.60,2.30,2.70,true
