size_code,pins,body_width,body_length,body_height,L_min,L_max,T_min,T_max,W_min,W_max,pin_pitch_y
1210,4,1.20,1.00,0.40,1.00,1.40,0.15,0.30,0.30,0.50,0.60
2012,2,2.00,1.20,0.60,1.80,2.20,0.20,0.40,0.80,1.20,0
2016,4,2.00,1.60,0.60,1.80,2.20,0.20,0.40,0.40,0.70,1.00
2520,4,2.50,2.00,0.70,2.30,2.70,0.25,0.45,0.50,0.80,1.40
3215,2,3.20,1.50,0.80,3.00,3.40,0.25,0.50,1.10,1.50,0
3225,4,3.20,2.50,0.90,3.00,3.40,0.25,0.50,0.60,1.00,1.80
5032,2,5.00,3.20,1.00,4.80,5.20,0.30,0.60,2.80,3.20,0
5032,4,5.00,3.20,1.00,4.80,5.20,0.30,0.60,1.00,1.40,2.20
7050,2,7.00,5.00,1.50,6.80,7.20,0.40,0.80,4.60,5.00,0
7050,4,7.00,5.00,1.50,6.80,7.20,0.40,0.80,1.20,1.80,3.60
