pin_count,pitch,row_spacing,body_width,body_length,body_height,L_min,L_max,T_min,T_max,W_min,W_max,drill
8,2.54,7.62,6.35,9.52,3.30,7.42,7.82,0.25,0.56,0.36,0.56,0.80
14,2.54,7.62,6.35,19.30,3.30,7.42,7.82,0.25,0.56,0.36,0.56,0.80
16,2.54,7.62,6.35,19.30,3.30,7.42,7.82,0.25,0.56,0.36,0.56,0.80
18,2.54,7.62,6.35,22.86,3.30,7.42,7.82,0.25,0.56,0.36,0.56,0.80
20,2.54,7.62,6.35,25.40,3.30,7.42,7.82,0.25,0.56,0.36,0.56,0.80
24,2.54,15.24,13.97,31.50,4.57,15.04,15.44,0.25,0.56,0.36,0.56,0.80
28,2.54,15.24,13.97,36.58,4.57,15.04,15.44,0.25,0.56,0.36,0.56,0.80
32,2.54,15.24,13.97,41.66,4.57,15.04,15.44,0.25,0.56,0.36,0.56,0.80
40,2.54,15.24,13.97,52.07,4.57,15.04,15.44,0.25,0.56,0.36,0.56,0.80
48,2.54,15.24,13.97,62.23,4.57,15.04,15.44,0.25,0.56,0.36,0.56,0.80
64,2.54,15.24,13.97,82.55,4.57,15.04,15.44,0.25,0.56,0.36,0.56,0.80
