diameter,height,L_min,L_max,T_min,T_max,W_min,W_max
3.0,5.4,3.00,3.60,0.95,1.55,0.45,0.65
4.0,5.4,4.00,4.60,1.35,1.95,0.45,0.65
5.0,5.4,5.00,5.60,1.65,2.25,0.45,0.65
5.0,5.8,5.00,5.60,1.65,2.25,0.45,0.65
6.3,5.4,6.30,6.90,1.95,2.55,0.50,0.80
6.3,5.8,6.30,6.90,1.95,2.55,0.50,0.80
6.3,7.7,6.30,6.90,1.95,2.55,0.50,0.80
8.0,5.4,8.00,8.60,2.80,3.40,0.70,1.10
8.0,6.2,8.00,8.60,2.80,3.40,0.70,1.10
8.0,10.2,8.00,8.60,2.80,3.40,0.70,1.10
10.0,10.2,10.00,10.60,2.85,3.45,0.90,1.30
10.0,12.5,10.00,10.60,2.85,3.45,0.90,1.30
12.5,13.5,12.50,13.10,3.20,3.80,0.90,1.30
16.0,16.5,16.00,16.60,3.70,4.30,1.20,1.70
