prefix,sides,pin_count,pitch,body_width,body_length,body_height,lead_span_x,lead_span_y,L_min,L_max,T_min,T_max,W_min,W_max,has_ep,ep_width,ep_length
SOIC,2,8,1.27,3.90,4.90,1.75,6.00,6.00,5.80,6.20,0.40,1.27,0.31,0.51,false,0,0
SOIC,2,14,1.27,3.90,8.65,1.75,6.00,6.00,5.80,6.20,0.40,1.27,0.31,0.51,false,0,0
SOIC,2,16,1.27,3.90,9.90,1.75,6.00,6.00,5.80,6.20,0.40,1.27,0.31,0.51,false,0,0
SOIC,2,18,1.27,7.50,11.40,2.65,10.30,10.30,10.00,10.60,0.40,1.27,0.31,0.51,false,0,0
SOIC,2,20,1.27,7.50,12.80,2.65,10.30,10.30,10.00,10.60,0.40,1.27,0.31,0.51,false,0,0
SOIC,2,24,1.27,7.50,15.40,2.65,10.30,10.30,10.00,10.60,0.40,1.27,0.31,0.51,false,0,0
SOIC,2,28,1.27,7.50,17.90,2.65,10.30,10.30,10.00,10.60,0.40,1.27,0.31,0.51,false,0,0
SSOP,2,8,0.65,3.00,3.00,1.75,5.30,5.30,5.00,5.60,0.40,1.27,0.22,0.38,false,0,0
SSOP,2,14,0.65,5.30,6.20,2.00,7.80,7.80,7.40,8.20,0.50,1.27,0.22,0.38,false,0,0
SSOP,2,16,0.65,5.30,6.20,2.00,7.80,7.80,7.40,8.20,0.50,1.27,0.22,0.38,false,0,0
SSOP,2,20,0.65,5.30,7.50,2.00,7.80,7.80,7.40,8.20,0.50,1.27,0.22,0.38,false,0,0
SSOP,2,24,0.65,5.30,8.20,2.00,7.80,7.80,7.40,8.20,0.50,1.27,0.22,0.38,false,0,0
SSOP,2,28,0.65,5.30,10.20,2.00,7.80,7.80,7.40,8.20,0.50,1.27,0.22,0.38,false,0,0
SSOP,2,48,0.635,7.50,15.90,3.10,10.20,10.20,9.80,10.60,0.50,1.27,0.22,0.38,false,0,0
SSOP,2,56,0.635,7.50,18.50,3.10,10.20,10.20,9.80,10.60,0.50,1.27,0.22,0.38,false,0,0
TSSOP,2,8,0.65,4.40,3.00,1.20,6.40,6.40,6.20,6.60,0.45,0.75,0.19,0.30,false,0,0
TSSOP,2,14,0.65,4.40,5.00,1.20,6.40,6.40,6.20,6.60,0.45,0.75,0.19,0.30,false,0,0
TSSOP,2,16,0.65,4.40,5.00,1.20,6.40,6.40,6.20,6.60,0.45,0.75,0.19,0.30,false,0,0
TSSOP,2,20,0.65,4.40,6.50,1.20,6.40,6.40,6.20,6.60,0.45,0.75,0.19,0.30,false,0,0
TSSOP,2,24,0.65,4.40,7.80,1.20,6.40,6.40,6.20,6.60,0.45,0.75,0.19,0.30,false,0,0
TSSOP,2,28,0.65,4.40,9.70,1.20,6.40,6.40,6.20,6.60,0.45,0.75,0.19,0.30,false,0,0
TSSOP,2,32,0.50,6.10,11.00,1.20,8.10,8.10,7.90,8.30,0.45,0.75,0.17,0.27,false,0,0
TSSOP,2,38,0.50,6.10,12.50,1.20,8.10,8.10,7.90,8.30,0.45,0.75,0.17,0.27,false,0,0
TSSOP,2,48,0.50,6.10,12.50,1.20,8.10,8.10,7.90,8.30,0.45,0.75,0.17,0.27,false,0,0
TSSOP,2,56,0.50,6.10,14.00,1.20,8.10,8.10,7.90,8.30,0.45,0.75,0.17,0.27,false,0,0
MSOP,2,8,0.65,3.00,3.00,1.10,4.90,4.90,4.70,5.10,0.40,0.80,0.22,0.38,false,0,0
MSOP,2,10,0.50,3.00,3.00,1.10,4.90,4.90,4.70,5.10,0.40,0.80,0.17,0.27,false,0,0
MSOP,2,12,0.65,3.00,4.04,1.10,4.90,4.90,4.70,5.10,0.40,0.80,0.22,0.38,false,0,0
MSOP,2,16,0.50,3.00,4.04,1.10,4.90,4.90,4.70,5.10,0.40,0.80,0.17,0.27,false,0,0
QFP,4,32,0.80,7.00,7.00,1.20,9.00,9.00,8.60,9.40,0.45,0.75,0.30,0.45,false,0,0
QFP,4,44,0.80,10.00,10.00,1.20,12.00,12.00,11.60,12.40,0.45,0.75,0.30,0.45,false,0,0
QFP,4,48,0.50,7.00,7.00,1.20,9.00,9.00,8.60,9.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,52,0.65,10.00,10.00,1.20,12.00,12.00,11.60,12.40,0.30,0.60,0.22,0.38,false,0,0
QFP,4,64,0.50,10.00,10.00,1.20,12.00,12.00,11.60,12.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,80,0.65,12.00,12.00,1.20,14.00,14.00,13.60,14.40,0.30,0.60,0.22,0.38,false,0,0
QFP,4,100,0.50,14.00,14.00,1.20,16.00,16.00,15.60,16.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,112,0.40,14.00,14.00,1.20,16.00,16.00,15.60,16.40,0.25,0.50,0.13,0.23,false,0,0
QFP,4,128,0.50,14.00,14.00,1.20,16.00,16.00,15.60,16.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,144,0.50,20.00,20.00,1.20,22.00,22.00,21.60,22.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,176,0.50,24.00,24.00,1.20,26.00,26.00,25.60,26.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,208,0.50,28.00,28.00,1.20,30.00,30.00,29.60,30.40,0.30,0.60,0.17,0.27,false,0,0
QFP,4,256,0.40,28.00,28.00,1.20,30.00,30.00,29.60,30.40,0.25,0.50,0.13,0.23,false,0,0
