name,body_width,body_length,body_height,pitch,lead_span,pin_count,L_min,L_max,T_min,T_max,W_min,W_max,pins,table,has_thermal_tab,thermal_tab_width,thermal_tab_length,is_diode
SOT-323,1.25,2.00,1.10,0.65,2.20,3,1.90,2.50,0.20,0.50,0.20,0.40,1:-1:-0.65;2:-1:0.65;3:1:0,3-2,false,0,0,false
SOT-343,1.25,2.00,1.10,0.65,2.20,4,1.90,2.50,0.20,0.50,0.20,0.40,1:-1:-0.65;2:-1:0.65;3:1:0.65;4:1:-0.65,3-2,false,0,0,false
SOT-353,1.25,2.00,1.10,0.65,2.20,5,1.90,2.50,0.20,0.50,0.20,0.40,1:-1:-0.65;2:-1:0;3:-1:0.65;4:1:0.65;5:1:-0.65,3-2,false,0,0,false
SOT-363,1.25,2.00,1.10,0.65,2.20,6,1.90,2.50,0.20,0.50,0.20,0.40,1:-1:-0.65;2:-1:0;3:-1:0.65;4:1:0.65;5:1:0;6:1:-0.65,3-2,false,0,0,false
SOT-416,0.80,1.60,0.70,0.80,1.80,3,1.50,2.10,0.20,0.50,0.15,0.35,1:-1:-0.80;2:-1:0.80;3:1:0,3-2,false,0,0,false
SOT-523,0.80,1.60,0.60,0.50,1.60,3,1.30,1.90,0.15,0.40,0.15,0.30,1:-1:-0.50;2:-1:0.50;3:1:0,3-2,false,0,0,false
SOT-553,0.80,1.60,0.60,0.50,1.60,5,1.30,1.90,0.15,0.40,0.15,0.30,1:-1:-0.50;2:-1:0;3:-1:0.50;4:1:0.50;5:1:-0.50,3-2,false,0,0,false
SOT-563,0.80,1.60,0.60,0.50,1.60,6,1.30,1.90,0.15,0.40,0.15,0.30,1:-1:-0.50;2:-1:0;3:-1:0.50;4:1:0.50;5:1:0;6:1:-0.50,3-2,false,0,0,false
SOT-665,1.20,1.60,0.55,0.50,1.80,5,1.50,2.10,0.15,0.40,0.15,0.30,1:-1:-0.50;2:-1:0;3:-1:0.50;4:1:0.50;5:1:-0.50,3-2,false,0,0,false
SOT-666,1.00,1.60,0.55,0.50,1.80,6,1.50,2.10,0.15,0.40,0.15,0.30,1:-1:-0.50;2:-1:0;3:-1:0.50;4:1:0.50;5:1:0;6:1:-0.50,3-2,false,0,0,false
SOT-723,0.80,1.20,0.50,0.40,1.40,3,1.10,1.70,0.10,0.35,0.10,0.25,1:-1:-0.40;2:-1:0.40;3:1:0,3-2,false,0,0,false
SOT-883,0.60,1.00,0.50,0.35,1.10,3,0.80,1.40,0.08,0.30,0.08,0.22,1:-1:-0.35;2:-1:0.35;3:1:0,3-2,false,0,0,false
SOT-963,1.00,1.00,0.50,0.35,1.40,6,1.10,1.70,0.08,0.30,0.08,0.22,1:-1:-0.35;2:-1:0;3:-1:0.35;4:1:0.35;5:1:0;6:1:-0.35,3-2,false,0,0,false
