name,body_width,body_length,body_height,pitch,lead_span,pin_count,L_min,L_max,T_min,T_max,W_min,W_max,pins,table,has_thermal_tab,thermal_tab_width,thermal_tab_length,is_diode
SOT-23-3,1.30,2.90,1.10,0.95,2.40,3,2.10,2.70,0.30,0.60,0.30,0.50,1:-1:-0.95;2:-1:0.95;3:1:0,3-2,false,0,0,false
SOT-23-5,1.30,2.90,1.10,0.95,2.40,5,2.10,2.70,0.30,0.60,0.22,0.38,1:-1:-0.95;2:-1:0;3:-1:0.95;4:1:0.95;5:1:-0.95,3-2,false,0,0,false
SOT-23-6,1.30,2.90,1.10,0.95,2.40,6,2.10,2.70,0.30,0.60,0.22,0.38,1:-1:-0.95;2:-1:0;3:-1:0.95;4:1:0.95;5:1:0;6:1:-0.95,3-2,false,0,0,false
SOT-89-3,2.50,4.50,1.60,1.50,4.00,3,3.70,4.30,0.50,0.90,0.30,0.50,1:-1:-1.50;2:-1:0;3:-1:1.50,3-2,true,2.00,3.80,false
SOT-143,1.30,2.90,1.10,0.95,2.40,4,2.10,2.70,0.30,0.60,0.22,0.38,1:-1:-0.95;2:-1:0.95;3:1:0.95;4:1:-0.95,3-2,false,0,0,false
SOT-223,3.50,6.50,1.80,2.30,6.70,4,6.30,7.10,0.60,1.20,0.60,0.90,1:-1:-2.30;2:-1:0;3:-1:2.30;4:1:0,3-2,false,0,0,false
SOD-123,1.30,2.70,1.20,0,3.60,2,3.20,4.00,0.50,1.00,0.90,1.30,1:-1:0;2:1:0,3-2,false,0,0,true
SOD-323,1.00,1.70,1.00,0,2.50,2,2.10,2.90,0.30,0.70,0.30,0.50,1:-1:0;2:1:0,3-2,false,0,0,true
SOD-523,0.60,1.20,0.60,0,1.60,2,1.30,1.90,0.20,0.50,0.20,0.40,1:-1:0;2:1:0,3-2,false,0,0,true
DPAK-TO252-3,6.50,6.10,2.30,2.28,9.80,3,9.40,10.20,1.10,1.70,0.60,0.90,1:-1:-2.28;2:-1:0;3:-1:2.28,3-14,true,5.40,5.80,false
D2PAK-TO263-3,8.40,10.30,4.40,2.54,14.00,3,13.60,14.40,1.30,2.00,0.70,1.10,1:-1:-2.54;2:-1:0;3:-1:2.54,3-14,true,7.50,10.00,false
