family,ipc_library,ipc_name,stock_library,stock_name,flags,note
SOIC,IPC7351B_SOIC,SOIC127P600X175-8N,Package_SO,SOIC-8_3.9x4.9mm_P1.27mm,,
SOIC,IPC7351B_SOIC,SOIC127P600X175-14N,Package_SO,SOIC-14_3.9x8.7mm_P1.27mm,,
SOIC,IPC7351B_SOIC,SOIC127P600X175-16N,Package_SO,SOIC-16_3.9x9.9mm_P1.27mm,,
SOIC,IPC7351B_SOIC,SOIC127P1030X265-18N,Package_SO,SOIC-18W_7.5x11.6mm_P1.27mm,,
SOIC,IPC7351B_SOIC,SOIC127P1030X265-20N,Package_SO,SOIC-20W_7.5x12.8mm_P1.27mm,,
SOIC,IPC7351B_SOIC,SOIC127P1030X265-24N,Package_SO,SOIC-24W_7.5x15.4mm_P1.27mm,,
SOIC,IPC7351B_SOIC,SOIC127P1030X265-28N,Package_SO,SOIC-28W_7.5x17.9mm_P1.27mm,,
SSOP,IPC7351B_SOIC,SSOP065P780X200-14N,Package_SO,SSOP-14_5.3x6.2mm_P0.65mm,,
SSOP,IPC7351B_SOIC,SSOP065P780X200-16N,Package_SO,SSOP-16_5.3x6.2mm_P0.65mm,,
SSOP,IPC7351B_SOIC,SSOP065P780X200-20N,Package_SO,SSOP-20_5.3x7.2mm_P0.65mm,,
SSOP,IPC7351B_SOIC,SSOP065P780X200-24N,Package_SO,SSOP-24_5.3x8.2mm_P0.65mm,,
SSOP,IPC7351B_SOIC,SSOP065P780X200-28N,Package_SO,SSOP-28_5.3x10.2mm_P0.65mm,,
SSOP,IPC7351B_SOIC,SSOP065P530X175-8N,Package_SO,SSOP-8_2.95x2.8mm_P0.65mm,loose,closest stock analog; body width differs
TSSOP,IPC7351B_SOIC,TSSOP065P640X120-8N,Package_SO,TSSOP-8_4.4x3mm_P0.65mm,,
TSSOP,IPC7351B_SOIC,TSSOP065P640X120-14N,Package_SO,TSSOP-14_4.4x5mm_P0.65mm,,
TSSOP,IPC7351B_SOIC,TSSOP065P640X120-16N,Package_SO,TSSOP-16_4.4x5mm_P0.65mm,,
TSSOP,IPC7351B_SOIC,TSSOP065P640X120-20N,Package_SO,TSSOP-20_4.4x6.5mm_P0.65mm,,
TSSOP,IPC7351B_SOIC,TSSOP065P640X120-24N,Package_SO,TSSOP-24_4.4x7.8mm_P0.65mm,,
TSSOP,IPC7351B_SOIC,TSSOP065P640X120-28N,Package_SO,TSSOP-28_4.4x9.7mm_P0.65mm,,
TSSOP,IPC7351B_SOIC,TSSOP050P810X120-48N,Package_SO,TSSOP-48_6.1x12.5mm_P0.5mm,,
MSOP,IPC7351B_SOIC,MSOP065P490X110-8N,Package_SO,MSOP-8_3x3mm_P0.65mm,,
